"HydroID","cnt","wetland_2006_sum","wetland_2006_pct"
201480087,0,0,NA
201480086,0,0,NA
201480176,0,0,NA
201480107,0,0,NA
201480106,0,0,NA
201480179,0,0,NA
201480296,0,0,NA
201480175,0,0,NA
201480462,0,0,NA
201480240,0,0,NA
201480295,0,0,NA
201480461,0,0,NA
201480603,0,0,NA
201480452,0,0,NA
201480636,0,0,NA
201480451,0,0,NA
201480644,0,0,NA
201480643,0,0,NA
201480635,0,0,NA
201480884,0,0,NA
201480602,0,0,NA
201480883,0,0,NA
201480704,0,0,NA
201480820,0,0,NA
201480703,0,0,NA
201481013,0,0,NA
201480839,0,0,NA
201480949,0,0,NA
201480821,0,0,NA
201481139,0,0,NA
201481130,0,0,NA
201480921,0,0,NA
201481018,0,0,NA
201481059,0,0,NA
201481088,0,0,NA
201481017,0,0,NA
201481022,0,0,NA
201480952,0,0,NA
201481021,0,0,NA
201481135,2102,131,0.0623215984776403
201481176,0,0,NA
201481100,0,0,NA
201481169,0,0,NA
201481072,0,0,NA
201481087,0,0,NA
201481145,0,0,NA
201481111,0,0,NA
201481146,0,0,NA
201481129,0,0,NA
201481263,0,0,NA
201481144,0,0,NA
201481142,2219,231,0.10410094637224
201481175,0,0,NA
201481278,0,0,NA
201481279,0,0,NA
201481187,0,0,NA
201481503,0,0,NA
201481404,0,0,NA
201481289,0,0,NA
201481315,0,0,NA
201481322,0,0,NA
201481284,0,0,NA
201481375,0,0,NA
201481321,0,0,NA
201481290,0,0,NA
201481634,0,0,NA
201481310,0,0,NA
201481456,4159,37,0.00889636931954797
201481302,0,0,NA
201481296,0,0,NA
201481330,0,0,NA
201481544,0,0,NA
201481435,0,0,NA
201481373,0,0,NA
201481498,0,0,NA
201481501,1450,99,0.0682758620689655
201481408,0,0,NA
201481382,0,0,NA
201481407,0,0,NA
201481502,0,0,NA
201481469,0,0,NA
201481636,0,0,NA
201481500,1188,65,0.0547138047138047
201481478,1556,57,0.0366323907455013
201481514,1314,25,0.0190258751902588
201481651,0,0,NA
201481511,0,0,NA
201481532,0,0,NA
201481711,0,0,NA
201481455,1067,44,0.0412371134020619
201481627,0,0,NA
201481574,1099,18,0.0163785259326661
201481635,0,0,NA
201481479,923,33,0.0357529794149512
201481659,0,0,NA
201481628,0,0,NA
201481515,945,42,0.0444444444444444
201481733,1705,266,0.156011730205279
201481600,0,0,NA
201481545,0,0,NA
201481538,42,0,0
201481535,485,1,0.00206185567010309
201481575,937,22,0.0234791889007471
201481537,3,0,0
201481642,2909,438,0.150567205225163
201481667,758,14,0.0184696569920844
201481825,0,0,NA
201481748,1028,97,0.0943579766536965
201481664,0,0,NA
201481599,0,0,NA
201481699,0,0,NA
201481688,0,0,NA
201481663,0,0,NA
201481665,0,0,NA
201482016,0,0,NA
201481824,0,0,NA
201481671,0,0,NA
201481644,0,0,NA
201481641,0,0,NA
201481652,0,0,NA
201481746,0,0,NA
201481739,0,0,NA
201481681,0,0,NA
201481689,0,0,NA
201481668,953,47,0.0493179433368311
201481940,0,0,NA
201481648,0,0,NA
201481682,0,0,NA
201481740,0,0,NA
201481747,0,0,NA
201481700,0,0,NA
201481712,0,0,NA
201481732,1254,261,0.208133971291866
201481741,0,0,NA
201481831,2592,155,0.0597993827160494
201481762,21,6,0.285714285714286
201481887,0,0,NA
201481796,0,0,NA
201481972,1494,127,0.0850066934404284
201481873,0,0,NA
201481800,1042,281,0.269673704414587
201482058,1970,153,0.0776649746192893
201481982,0,0,NA
201481902,0,0,NA
201481946,0,0,NA
201482006,0,0,NA
201482118,0,0,NA
201481922,2161,520,0.24062933826932
201481912,1244,32,0.0257234726688103
201482256,0,0,NA
201481985,1619,30,0.0185299567634342
201481938,0,0,NA
201482072,0,0,NA
201481955,0,0,NA
201482031,1433,108,0.0753663642707606
201481949,92,0,0
201482014,0,0,NA
201481954,1475,312,0.211525423728814
201482138,0,0,NA
201482005,0,0,NA
201482013,0,0,NA
201481977,44,0,0
201482137,0,0,NA
201482171,0,0,NA
201481986,39,2,0.0512820512820513
201481990,0,0,NA
201482012,0,0,NA
201482037,1424,18,0.0126404494382022
201482135,1199,25,0.0208507089241034
201482231,0,0,NA
201482062,1587,187,0.117832388153749
201482017,0,0,NA
201482047,0,0,NA
201482158,0,0,NA
201482055,0,0,NA
201482249,0,0,NA
201482103,2956,73,0.0246955345060893
201482041,0,0,NA
201482059,0,0,NA
201482134,0,0,NA
201482104,78,0,0
201482145,0,0,NA
201482117,0,0,NA
201482286,0,0,NA
201482175,1283,69,0.053780202650039
201482159,983,15,0.0152594099694812
201482177,0,0,NA
201482398,4465,115,0.0257558790593505
201482170,0,0,NA
201482257,0,0,NA
201482203,0,0,NA
201482197,0,0,NA
201482198,0,0,NA
201482428,0,0,NA
201482434,0,0,NA
